income_msoa,pct_manag_prof,median_age,pct_minority,income_msoa_tercile,pct_manag_prof_tercile,median_age_tercile,pct_minority_tercile,stable_lockdown,stable_covid
40057.143,22.736,38.423,23.05,Low,Low,Low,High,0,1
31430.0,19.622,34.147,55.036,Low,Low,Low,High,1,1
47141.667,36.256,39.039,14.09,Medium,Medium,Low,Medium,1,1
39000.0,29.153,44.468,2.049,Low,Low,Medium,Low,1,0
41118.182,28.376,44.184,4.66,Medium,Low,Medium,Low,1,0
38937.5,23.111,37.275,28.826,Low,Low,Low,High,1,1
38100.0,28.244,41.351,10.464,Low,Low,Medium,Medium,1,0
46911.111,39.865,39.501,14.37,Medium,High,Medium,Medium,1,1
54213.043,45.718,45.174,10.739,High,High,High,Medium,1,1
51058.333,35.939,40.379,38.899,High,Medium,Medium,High,1,0
52178.571,23.772,36.188,75.477,High,Low,Low,High,1,1
57000.0,45.096,47.591,6.033,High,High,High,Medium,0,0
43590.909,44.301,37.602,10.816,Medium,High,Low,Medium,1,0
36800.0,25.264,42.256,3.393,Low,Low,Medium,Low,1,1
40075.0,33.343,45.678,3.64,Low,Medium,High,Low,0,1
42700.0,30.944,37.516,13.173,Medium,Medium,Low,Medium,1,0
34471.429,27.41,42.504,1.743,Low,Low,Medium,Low,0,0
34400.0,25.644,44.41,6.167,Low,Low,Medium,Medium,0,1
32300.0,22.684,38.463,10.623,Low,Low,Low,Medium,1,1
75683.333,50.153,39.134,10.258,High,High,Low,Medium,0,1
78466.667,58.931,31.56,53.472,High,High,Low,High,1,0
53943.75,35.856,39.506,74.343,High,Medium,Medium,High,0,1
36100.0,22.505,37.85,4.537,Low,Low,Low,Low,1,1
45950.0,39.907,45.538,4.395,Medium,High,High,Low,1,1
50786.667,44.987,45.442,8.663,High,High,High,Medium,1,0
44800.0,40.761,46.322,3.149,Medium,High,High,Low,1,0
37494.737,24.877,37.489,18.499,Low,Low,Low,High,0,1
59407.692,49.487,50.552,6.114,High,High,High,Medium,1,1
35000.0,22.128,41.359,5.052,Low,Low,Medium,Low,0,0
47469.231,,,,Medium,,,,1,1
49872.727,43.634,50.164,6.877,High,High,High,Medium,0,1
52150.0,39.738,42.39,5.615,High,High,Medium,Medium,1,0
59195.0,46.848,45.557,17.302,High,High,High,High,0,0
48317.647,44.006,45.215,25.195,Medium,High,High,High,0,1
34405.882,24.171,43.122,1.469,Low,Low,Medium,Low,0,0
41180.0,32.089,48.013,4.024,Medium,Medium,High,Low,1,0
51775.0,39.906,47.642,10.674,High,High,High,Medium,0,1
45900.0,40.424,43.513,13.305,Medium,High,Medium,Medium,1,1
45373.684,40.675,47.143,2.918,Medium,High,High,Low,0,1
42360.0,40.229,58.531,2.621,Medium,High,High,Low,1,0
40500.0,34.142,44.223,3.08,Low,Medium,Medium,Low,0,1
46418.182,40.779,52.389,3.878,Medium,High,High,Low,1,0
43916.667,36.704,39.767,12.275,Medium,Medium,Medium,Medium,1,0
46400.0,32.519,46.326,10.179,Medium,Medium,High,Medium,1,0
