cluster_202002,income_msoa,pct_manag_prof,median_age,pct_minority
3,56100.0,43.677,44.419,5.387
0,57966.667,39.201,38.312,6.519
2,60325.0,43.139,40.962,39.04
3,49200.0,35.785,36.302,19.18
0,53032.258,38.108,40.735,6.61
3,30500.0,18.975,39.257,4.103
3,47300.0,38.256,46.478,3.569
2,48200.0,44.308,43.146,8.924
1,37700.0,28.543,47.141,3.383
2,37350.0,,,
2,44489.474,36.657,44.51,4.778
3,60938.462,44.907,38.76,34.434
3,32100.0,24.191,44.961,7.586
3,39488.889,28.958,51.327,2.433
1,47060.606,38.221,42.18,9.69
2,44086.667,32.108,43.834,11.873
0,35650.0,25.966,39.363,4.861
2,56600.0,45.894,51.587,5.913
2,39760.0,38.567,46.662,10.757
3,44000.0,36.237,41.142,3.334
0,41450.0,38.418,54.327,2.038
3,25500.0,12.937,36.022,6.382
1,40900.0,21.279,37.388,20.15
2,47191.667,33.083,42.702,5.479
1,59573.333,38.53,41.218,68.667
